"Path","Ext","Bytes","Reachable","Guid"
"Assets\Prefabs\GameTokens\Shrine Token.prefab",".prefab","4495","True","dfb87a6b2c2fe8344b4588e818476e86"
"Assets\Scripts\Managers\Commands\TeleportCommand.cs",".cs","1429","True","1060716ce381e6b4f9f47aedd974d00b"
"Assets\Scripts\ScriptableObjectData\Non-Player\Dungeons\Derelict Tower.asset",".asset","817","True","843943e1d0558f2459d1bed3375a8b07"
"Assets\Images\Simple Fantasy GUI\PNG\Character Bar\Character_Box.png",".png","22824","False","f07e17d8dc5732646b3ec49fce870411"
"Assets\Terrain Tile Hex Samples\Hex Samples\hexPlains01.png",".png","98968","True","73dcbf0d70c5fc74488bba6520cd800c"
"Assets\Scripts\HexTooltip\HexDescriptor.cs",".cs","618","True","501799e551cd943459708d3e2691b639"
"Assets\Images\Tiny Swords\Units\Black Units\Lancer\Lancer Black Animations\Lancer_ DownRight_Attack_Black.anim",".anim","2218","False","2a1da9682201c4443982305da8349e83"
"Assets\Images\Tiny Swords\Units\Yellow Units\Monk\Idle.png",".png","6535","False","d69e3be544b764174a6deb465428148d"
"Assets\Scripts\ScriptableObjectData\Player\Cards\Defending Blow.asset",".asset","1076","True","fee3f75200346d140802c0770ce31dbb"
"Assets\Tests\EditMode\EnemyTraitCopyTests.cs",".cs","5424","True","a802e674706e4091bcb9e0d5c23f6e67"
"Assets\Scripts\GameEvents\Events\CommandEvents\OnPlay_SendAttackCommandInformationToUndoButton.asset",".asset","436","False","1c6f9096830348142b8be3162f67a6f0"
"Assets\Scripts\GameObjectScripts\TownMenuScripts\RecruitPanel.cs",".cs","3525","True","da9f11d8f16784f42841232a664056f3"
"Assets\Images\Tiny Swords\Units\Red Units\Warrior\Warrior_Attack2.png",".png","8933","False","6f8ff723d07324cb097b6509d12dbdfa"
"Assets\Scripts\GameEvents\Listener\PlayerHandListener.cs",".cs","194","True","17556ca88ed14114c88e9df216bd26c4"
"Assets\Images\Flat 2D Weapons\Art\PNG\1. Collection\512\4. Button.png",".png","39572","True","f19341fa9e2d2f640a2750c72c71a3b9"
"Assets\Scripts\ExtensionClass.cs",".cs","321","True","caa1870f63aeb084e8370f835d697c4f"
"Assets\Prefabs\PlayerDeck.prefab",".prefab","9691","True","6aa5c23f997240548a95d57c54ca30de"
"Assets\Images\Simple Fantasy GUI\PNG\Icons\Plus_Icon.png",".png","1021","False","ea4a9c4889157964ea64778839d97680"
"Assets\Scripts\Tutorial\Tips\town.asset",".asset","634","True","2342e7a65712fcf45b0402daa849a121"
"Assets\Images\Tiny Swords\Units\Purple Units\Lancer\Lancer_Run.png",".png","11182","False","e645c16eaf0814575b2f6a0884376606"
"Assets\Scripts\GameObjectScripts\GameBoardObjects\EnemyCardIdleSway.cs",".cs","1451","True","b9fb8005368514a4481821436e9118ec"
"Assets\TileMap\hexJungle00.asset",".asset","774","False","131779a09aa173049b6d0694fe97860d"
"Assets\Scripts\CardPlay\HealRules.cs",".cs","574","True","54614e50538fa9941b7392375133c491"
"Assets\Images\Tiny Swords\Units\Purple Units\Lancer\Lancer Purple Animations\Lancer_Purple.controller",".controller","10999","False","07a95c332f29b4855ba1a665077ef01f"
"Assets\Plugins\Demigiant\DOTween\Editor\Imgs\Header.jpg",".jpg","22787","False","78a59ca99f8987941adb61f9e14a06a7"
"Assets\Tests\EditMode\UnitPlaySelectionTests.cs",".cs","3137","True","bb10ac14698543746a48ac7dd2f591a4"
"Assets\Images\Tiny Swords\Units\Black Units\Lancer\Lancer Black Animations\Lancer_Black.controller",".controller","10990","False","4e5ce80d18b09468aafecaf19ca22535"
"Assets\Scripts\GameEvents\Listener\SkillListener.cs",".cs","96","True","f0897c6eae7fd5740af67248e5bd48fd"
"Assets\Scripts\ScriptableObjectData\Player\Cards\Bulwark.asset",".asset","1001","True","815e09b3ff4e4ccdada412c09f980287"
"Assets\Images\Flat 2D Weapons\Art\PNG\1. Collection\128\8. Knives.png",".png","7273","False","76423be0f0fa7f641acbedc1f14faf2c"
"Assets\Images\Images\SkeletalMage.png",".png","2509","True","9e2c8285b55b7de4d8f8f39d9785eaef"
"Assets\Scripts\GameEvents\Events\Card Events\OnImprovExplore_SetPlayerStats.asset",".asset","419","True","e9b6d3bd76fad8f42bc96358a8c1366c"
"Assets\Images\Tiny Swords\Units\Red Units\Archer\Archer_Run.png",".png","5349","False","059e4d177853e423d9ca4440d4a763e5"
"Assets\Images\Images\408-4085215_board-game-blank-card-template-png-download-clipart.png",".png","66228","True","80a550e7cae67ba44805cb220ffe2e6f"
"Assets\Scripts\ScriptableObjectData\Player\Cards\BattleMaster.asset",".asset","1072","True","6a0030b41a885b2419098c937175ae8d"
"Assets\Images\Tiny Swords\Units\Red Units\Lancer\Lancer_Down_Attack.png",".png","6124","False","2670d0d1e62684223bf3cb42dfb66795"
"Assets\Scripts\Tutorial\Help\dungeon.asset",".asset","763","True","2f82f4d9ca38428bafe92ec217943859"
"Assets\Images\Tiny Swords\Units\Purple Units\Lancer\Lancer Purple Animations\Lancer_Idle_Purple.anim",".anim","3943","False","ff26b8d0da7714f85b453aacf7bfb285"
"Assets\Images\500FreeSkillIcons\Icons\refresh.png",".png","383537","True","99587b0e12308c94fbe5d282c2c63663"
"Assets\Images\Tiny Swords\Units\Black Units\Lancer\Lancer Black Animations\Lancer_ UpRight_Attack_Black.anim",".anim","2212","False","d48f4c702efd34acb8acff46c3268c9c"
"Assets\Images\IconArt\UI Assets\Ability_Skill_Icons\UI_Skill_Icon_Punches.png",".png","91583","True","eecb85004343b0e4d8b78fd7f9877b32"
"Assets\Images\Tiny Swords\Buildings\Yellow Buildings\Archery.png",".png","10266","False","c57a41b4b0b14434e9e3dc5a426febef"
"Assets\Scripts\GameEvents\Events\Enemy Events\onClick_SiegeEnemy.asset",".asset","438","True","6b50deaf02f02a441ad7ca4033b3028c"
"Assets\Terrain Tile Hex Samples\Example Scene\Example Hexes\hexPlains00.asset",".asset","774","False","71b80c7a431908d4ab5e16412b11a975"
"Assets\Scripts\ScriptableObjectData\Non-Player\Towns\SirensGateKeep.asset",".asset","924","True","2b5ba391bb99ea74285345bcd830a929"
"Assets\Plugins\Demigiant\DOTween\DOTween.dll",".dll","172032","True","a811bde74b26b53498b4f6d872b09b6d"
"Assets\Scripts\GameEvents\Events\PlayerEvents\PlayerIntEvent\onTurnsRemainingChanged.asset",".asset","437","True","e28c6bde77ecd6848bfc93b2bc8af385"
"Assets\Images\Simple Fantasy GUI\PNG\Character Panel\Plus_Icon.png",".png","1021","False","108f3f0394e16fc4c8e7ee1db9e95935"
"Assets\Images\Tiny Swords\Units\Yellow Units\Warrior\Warrior Yellow Animations\Warrior_Attack1_Yellow.anim",".anim","2401","False","a2a2b58420c04427da33857e5ce26a6c"
"Assets\Terrain Tile Hex Samples\Tile Samples\below_water00.png",".png","12224","True","a4b92a0441606bd499fbf36994da18b3"
"Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs",".cs","9054","True","b766d08851589514b97afb23c6f30a70"
"Assets\Images\Hero Knight - Pixel Art\Demo\HeroKnight_Green.prefab",".prefab","14702","False","2f7eeaf41636b0f4f8ca52ea6858fd36"
"Assets\Images\Tiny Swords\Units\Yellow Units\Lancer\Lancer Yellow Animations\Lancer_ Down_Defence_Yellow.anim",".anim","2796","False","13f242fb5b1694c928fe38a89a83c17d"
